timestamp,localized,red,ir
1684206053892,2023-05-15T20:00:53.892(UTC-07:00),28521,303458
1684206053913,2023-05-15T20:00:53.913(UTC-07:00),28523,303462
1684206053933,2023-05-15T20:00:53.933(UTC-07:00),28525,303465
1684206053953,2023-05-15T20:00:53.953(UTC-07:00),28526,303469
1684206053973,2023-05-15T20:00:53.973(UTC-07:00),28527,303472
1684206053993,2023-05-15T20:00:53.993(UTC-07:00),28528,303474
1684206054013,2023-05-15T20:00:54.013(UTC-07:00),28529,303476
1684206054034,2023-05-15T20:00:54.034(UTC-07:00),28530,303478
1684206054054,2023-05-15T20:00:54.054(UTC-07:00),28530,303480
1684206054074,2023-05-15T20:00:54.074(UTC-07:00),28530,303481
1684206054094,2023-05-15T20:00:54.094(UTC-07:00),28530,303481
1684206054114,2023-05-15T20:00:54.114(UTC-07:00),28529,303479
1684206054134,2023-05-15T20:00:54.134(UTC-07:00),28528,303474
1684206054155,2023-05-15T20:00:54.155(UTC-07:00),28526,303468
1684206054175,2023-05-15T20:00:54.175(UTC-07:00),28523,303460
1684206054195,2023-05-15T20:00:54.195(UTC-07:00),28519,303452
1684206054215,2023-05-15T20:00:54.215(UTC-07:00),28516,303444
1684206054235,2023-05-15T20:00:54.235(UTC-07:00),28513,303438
1684206054255,2023-05-15T20:00:54.255(UTC-07:00),28511,303433
1684206054275,2023-05-15T20:00:54.275(UTC-07:00),28510,303430
1684206054296,2023-05-15T20:00:54.296(UTC-07:00),28510,303428
1684206054316,2023-05-15T20:00:54.316(UTC-07:00),28511,303428
1684206054336,2023-05-15T20:00:54.336(UTC-07:00),28511,303429
1684206054356,2023-05-15T20:00:54.356(UTC-07:00),28512,303431
1684206054376,2023-05-15T20:00:54.376(UTC-07:00),28512,303433
1684206054396,2023-05-15T20:00:54.396(UTC-07:00),28512,303435
1684206054417,2023-05-15T20:00:54.417(UTC-07:00),28512,303435
1684206054437,2023-05-15T20:00:54.437(UTC-07:00),28512,303435
1684206054457,2023-05-15T20:00:54.457(UTC-07:00),28512,303434
1684206054477,2023-05-15T20:00:54.477(UTC-07:00),28512,303433
1684206054497,2023-05-15T20:00:54.497(UTC-07:00),28512,303432
1684206054517,2023-05-15T20:00:54.517(UTC-07:00),28512,303432
1684206054537,2023-05-15T20:00:54.537(UTC-07:00),28511,303432
1684206054558,2023-05-15T20:00:54.558(UTC-07:00),28511,303433
1684206054578,2023-05-15T20:00:54.578(UTC-07:00),28511,303435
1684206054598,2023-05-15T20:00:54.598(UTC-07:00),28511,303436
1684206054618,2023-05-15T20:00:54.618(UTC-07:00),28512,303438
1684206054638,2023-05-15T20:00:54.638(UTC-07:00),28513,303440
1684206054658,2023-05-15T20:00:54.658(UTC-07:00),28514,303443
1684206054679,2023-05-15T20:00:54.679(UTC-07:00),28515,303446
1684206054699,2023-05-15T20:00:54.699(UTC-07:00),28517,303450
1684206054719,2023-05-15T20:00:54.719(UTC-07:00),28519,303454
1684206054739,2023-05-15T20:00:54.739(UTC-07:00),28521,303458
1684206054759,2023-05-15T20:00:54.759(UTC-07:00),28523,303462
1684206054779,2023-05-15T20:00:54.779(UTC-07:00),28525,303466
1684206054800,2023-05-15T20:00:54.800(UTC-07:00),28527,303470
1684206054822,2023-05-15T20:00:54.822(UTC-07:00),28529,303473
1684206054844,2023-05-15T20:00:54.844(UTC-07:00),28530,303476
1684206054866,2023-05-15T20:00:54.866(UTC-07:00),28531,303480
1684206054888,2023-05-15T20:00:54.888(UTC-07:00),28532,303483
1684206054910,2023-05-15T20:00:54.910(UTC-07:00),28534,303486
1684206054932,2023-05-15T20:00:54.932(UTC-07:00),28535,303488
1684206054954,2023-05-15T20:00:54.954(UTC-07:00),28536,303491
1684206054976,2023-05-15T20:00:54.976(UTC-07:00),28538,303494
1684206054998,2023-05-15T20:00:54.998(UTC-07:00),28540,303497
1684206055020,2023-05-15T20:00:55.020(UTC-07:00),28541,303501
1684206055042,2023-05-15T20:00:55.042(UTC-07:00),28543,303504
1684206055064,2023-05-15T20:00:55.064(UTC-07:00),28544,303507
1684206055086,2023-05-15T20:00:55.086(UTC-07:00),28544,303507
1684206055108,2023-05-15T20:00:55.108(UTC-07:00),28543,303504
